Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_LN_VTA12_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[7887.232288],[0],3,[1],0,0.9049060999996072
VTA_LN_VTA12_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[7897.2322901],[0],1,[1],1,1.0332429000000047
VTA_LN_VTA12_ses1,trial_4_neu_3_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[7902.2318012],[0],3,[1],0,1.2879887500002951
VTA_LN_VTA12_ses1,trial_5_neu_4_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[7907.231913],[0],3,[1],0,1.0447956000007252
VTA_LN_VTA12_ses1,trial_7_rew_2_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[7917.2321941],[0],1,[2],1,0.9524243000005299
VTA_LN_VTA12_ses1,trial_9_los_3_f1_f2_acum_r2_l0_task_1_sess_1,Picture,[7927.2311033],[0],2,[2],0,0.6981177500010745
VTA_LN_VTA12_ses1,trial_11_los_5_f1_f2_acum_r2_l0_task_1_sess_1,Picture,[7937.231149],[0],2,[2],-1,0.8532513000000108
VTA_LN_VTA12_ses1,trial_12_rew_3_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[7942.2324158],[0],1,[1],1,0.9261536499998329
VTA_LN_VTA12_ses1,trial_13_neu_5_f2_f1_acum_r3_l1_task_1_sess_1,Picture,[7947.2318837],[0],3,[2],0,0.9688041499994142
VTA_LN_VTA12_ses1,trial_14_los_6_f1_f2_acum_r3_l1_task_1_sess_1,Picture,[7952.2312684],[0],2,[2],0,1.0062897500001782
VTA_LN_VTA12_ses1,trial_15_los_7_f1_f2_acum_r3_l1_task_1_sess_1,Picture,[7957.2312325],[0],2,[2],0,0.7043591999990895
VTA_LN_VTA12_ses1,trial_16_rew_4_f2_f1_acum_r3_l1_task_1_sess_1,Picture,[7962.2327499],[0],1,[2],1,0.6617607499993028
VTA_LN_VTA12_ses1,trial_17_neu_6_f1_f2_acum_r4_l1_task_1_sess_1,Picture,[7967.2319341],[0],3,[1],0,0.7017314499998974
VTA_LN_VTA12_ses1,trial_18_rew_5_f1_f2_acum_r4_l1_task_1_sess_1,Picture,[7972.2321665],[0],1,[1],1,0.6403621999997995
VTA_LN_VTA12_ses1,trial_19_neu_7_f1_f2_acum_r5_l1_task_1_sess_1,Picture,[7977.2320217],[0],3,[1],0,0.6325342000000092
VTA_LN_VTA12_ses1,trial_20_neu_8_f1_f2_acum_r5_l1_task_1_sess_1,Picture,[7982.2319923],[0],3,[2],0,1.04753140000048
VTA_LN_VTA12_ses1,trial_21_los_8_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[7987.2311985],[0],2,[2],0,1.1100642500005051
VTA_LN_VTA12_ses1,trial_22_neu_9_f1_f2_acum_r5_l1_task_1_sess_1,Picture,[7992.2319211],[0],3,[2],0,1.0875076499996794
VTA_LN_VTA12_ses1,trial_24_neu_11_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[8002.2318703],[0],3,[2],0,0.932593249999627
VTA_LN_VTA12_ses1,trial_25_los_9_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[8007.2312182],[0],2,[1],0,0.9733177000007345
VTA_LN_VTA12_ses1,trial_26_neu_12_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[8012.2326547],[0],3,[1],0,1.1137398000000758
VTA_LN_VTA12_ses1,trial_27_neu_13_f1_f2_acum_r5_l1_task_1_sess_1,Picture,[8017.23193],[0],3,[2],0,1.2415954999996757
VTA_LN_VTA12_ses1,trial_28_los_10_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[8022.2313421],[0],2,[1],0,1.2992205999998987
VTA_LN_VTA12_ses1,trial_29_rew_6_f2_f1_acum_r5_l1_task_1_sess_1,Picture,[8027.2326865],[0],1,[2],1,0.7727986499994586
VTA_LN_VTA12_ses1,trial_30_los_11_f1_f2_acum_r6_l1_task_1_sess_1,Picture,[8032.2311029],[0],2,[1],-1,1.3693916499996703
VTA_LN_VTA12_ses1,trial_32_los_12_f2_f1_acum_r6_l2_task_1_sess_1,Picture,[8042.2314475],[0],2,[2],-1,1.1648551999996926
VTA_LN_VTA12_ses1,trial_33_rew_7_f2_f1_acum_r6_l3_task_1_sess_1,Picture,[8047.2323138],[0],1,[2],1,0.8472240999999485
VTA_LN_VTA12_ses1,trial_34_rew_8_f1_f2_acum_r7_l3_task_1_sess_1,Picture,[8052.2325336],[0],1,[1],1,0.5869560500004809
VTA_LN_VTA12_ses1,trial_35_rew_9_f1_f2_acum_r8_l3_task_1_sess_1,Picture,[8057.2325344],[0],1,[1],0,0.5617143500003294
VTA_LN_VTA12_ses1,trial_36_los_13_f1_f2_acum_r8_l3_task_1_sess_1,Picture,[8062.2312226],[0],2,[1],-1,1.1602088499994352
VTA_LN_VTA12_ses1,trial_37_los_14_f1_f2_acum_r8_l4_task_1_sess_1,Picture,[8067.2312816],[0],2,[2],0,1.4330712999990283
VTA_LN_VTA12_ses1,trial_38_rew_10_f2_f1_acum_r8_l4_task_1_sess_1,Picture,[8072.2324074],[0],1,[2],0,0.6018949500003146
VTA_LN_VTA12_ses1,trial_39_neu_15_f1_f2_acum_r8_l4_task_1_sess_1,Picture,[8077.2321824],[0],3,[2],0,1.044265649999943
VTA_LN_VTA12_ses1,trial_40_los_15_f2_f1_acum_r8_l4_task_1_sess_1,Picture,[8082.2311872],[0],2,[2],0,1.121305300000131
VTA_LN_VTA12_ses1,trial_41_neu_16_f2_f1_acum_r8_l4_task_1_sess_1,Picture,[8087.2320161],[0],3,[2],0,1.2663569500009544
VTA_LN_VTA12_ses1,trial_42_rew_11_f1_f2_acum_r8_l4_task_1_sess_1,Picture,[8092.2323736],[0],1,[1],1,0.6620548000000781
VTA_LN_VTA12_ses1,trial_44_los_16_f2_f1_acum_r9_l4_task_1_sess_1,Picture,[8102.2313009],[0],2,[2],-1,1.0291017999998076
VTA_LN_VTA12_ses1,trial_45_neu_18_f2_f1_acum_r9_l5_task_1_sess_1,Picture,[8107.2320393],[0],3,[2],0,1.1220408999997744
VTA_LN_VTA12_ses1,trial_46_neu_19_f2_f1_acum_r9_l5_task_1_sess_1,Picture,[8112.2321756],[0],3,[1],0,1.1550103499994293
VTA_LN_VTA12_ses1,trial_47_rew_12_f1_f2_acum_r9_l5_task_1_sess_1,Picture,[8117.232251],[0],1,[1],0,0.5849711499995465
VTA_LN_VTA12_ses1,trial_48_rew_13_f2_f1_acum_r9_l5_task_1_sess_1,Picture,[8122.2325349],[0],1,[2],0,0.6425709499999357
VTA_LN_VTA12_ses1,trial_49_rew_14_f2_f1_acum_r9_l5_task_1_sess_1,Picture,[8127.2324927],[0],1,[2],1,0.5957530499999848
VTA_LN_VTA12_ses1,trial_50_los_17_f2_f1_acum_r10_l5_task_1_sess_1,Picture,[8132.2314825],[0],2,[2],-1,1.2189238999999361
VTA_LN_VTA12_ses1,trial_51_rew_15_f2_f1_acum_r10_l6_task_1_sess_1,Picture,[8137.2322774],[0],1,[2],1,0.7859109999990324
VTA_LN_VTA12_ses1,trial_52_rew_16_f2_f1_acum_r11_l6_task_1_sess_1,Picture,[8142.2322865],[0],1,[2],1,0.6837759000000005
VTA_LN_VTA12_ses1,trial_53_rew_17_f2_f1_acum_r12_l6_task_1_sess_1,Picture,[8147.2322695],[0],1,[2],1,0.673953800000163
VTA_LN_VTA12_ses1,trial_54_rew_18_f1_f2_acum_r13_l6_task_1_sess_1,Picture,[8152.232476],[0],1,[1],0,0.6376597999997102
VTA_LN_VTA12_ses1,trial_55_los_18_f2_f1_acum_r13_l6_task_1_sess_1,Picture,[8157.2314388],[0],2,[1],0,1.037712599999395
VTA_LN_VTA12_ses1,trial_56_los_19_f1_f2_acum_r13_l6_task_1_sess_1,Picture,[8162.2322244],[0],2,[1],-1,0.9720224000002418
VTA_LN_VTA12_ses1,trial_57_neu_20_f2_f1_acum_r13_l7_task_1_sess_1,Picture,[8167.2319608],[0],3,[2],0,1.1946736999998393
VTA_LN_VTA12_ses1,trial_58_rew_19_f1_f2_acum_r13_l7_task_1_sess_1,Picture,[8172.2322501],[0],1,[1],1,0.6027737000003981
VTA_LN_VTA12_ses1,trial_59_los_20_f1_f2_acum_r14_l7_task_1_sess_1,Picture,[8177.2315055],[0],2,[1],-1,0.9555854500003989
VTA_LN_VTA12_ses1,trial_60_rew_20_f1_f2_acum_r14_l8_task_1_sess_1,Picture,[8182.2324901],[0],1,[1],0,0.6216006999993624
VTA_LN_VTA12_ses1,trial_61_neu_21_f1_f2_acum_r14_l8_task_1_sess_1,Picture,[8187.2320278],[0],3,[2],0,1.3401953000002322
VTA_LN_VTA12_ses1,trial_62_neu_22_f2_f1_acum_r14_l8_task_1_sess_1,Picture,[8192.2320341],[0],3,[2],0,1.0909418499995809
VTA_LN_VTA12_ses1,trial_63_rew_21_f1_f2_acum_r14_l8_task_1_sess_1,Picture,[8197.2323311],[0],1,[1],1,0.606855900001392
VTA_LN_VTA12_ses1,trial_64_neu_23_f1_f2_acum_r15_l8_task_1_sess_1,Picture,[8202.2323572],[0],3,[2],0,0.9877178999995522
VTA_LN_VTA12_ses1,trial_65_neu_24_f1_f2_acum_r15_l8_task_1_sess_1,Picture,[8207.2319792],[0],3,[2],0,1.0823753999993642
VTA_LN_VTA12_ses1,trial_66_los_21_f2_f1_acum_r15_l8_task_1_sess_1,Picture,[8212.2319747],[0],2,[2],-1,0.7771208999984083
VTA_LN_VTA12_ses1,trial_67_rew_22_f2_f1_acum_r15_l9_task_1_sess_1,Picture,[8217.2322539],[0],1,[2],1,0.9997951500008639
VTA_LN_VTA12_ses1,trial_68_los_22_f1_f2_acum_r16_l9_task_1_sess_1,Picture,[8222.2314459],[0],2,[2],0,1.0046839999995427
VTA_LN_VTA12_ses1,trial_69_los_23_f1_f2_acum_r16_l9_task_1_sess_1,Picture,[8227.2315057],[0],2,[2],0,0.6944719000002806
VTA_LN_VTA12_ses1,trial_71_los_25_f1_f2_acum_r16_l9_task_1_sess_1,Picture,[8237.2314209],[0],2,[1],0,0.8866136500000721
VTA_LN_VTA12_ses1,trial_72_rew_23_f1_f2_acum_r16_l9_task_1_sess_1,Picture,[8242.2323669],[0],1,[1],1,0.7755086500001198
VTA_LN_VTA12_ses1,trial_73_neu_25_f2_f1_acum_r17_l9_task_1_sess_1,Picture,[8247.2320517],[0],3,[1],0,1.2309098000005179
VTA_LN_VTA12_ses1,trial_74_los_26_f1_f2_acum_r17_l9_task_1_sess_1,Picture,[8252.2312355],[0],2,[2],0,1.2527446000003692
VTA_LN_VTA12_ses1,trial_75_los_27_f1_f2_acum_r17_l9_task_1_sess_1,Picture,[8257.2316768],[0],2,[2],0,0.783488449998913
VTA_LN_VTA12_ses1,trial_76_rew_24_f2_f1_acum_r17_l9_task_1_sess_1,Picture,[8262.2324009],[0],1,[2],1,0.6686280499998247
VTA_LN_VTA12_ses1,trial_77_neu_26_f1_f2_acum_r18_l9_task_1_sess_1,Picture,[8267.2321909],[0],3,[2],0,0.9706436500000564
VTA_LN_VTA12_ses1,trial_78_rew_25_f1_f2_acum_r18_l9_task_1_sess_1,Picture,[8272.2325649],[0],1,[1],1,0.8314867999997659
VTA_LN_VTA12_ses1,trial_79_neu_27_f1_f2_acum_r19_l9_task_1_sess_1,Picture,[8277.2320839],[0],3,[1],0,1.3837452999996458
VTA_LN_VTA12_ses1,trial_80_neu_28_f1_f2_acum_r19_l9_task_1_sess_1,Picture,[8282.2320452],[0],3,[2],0,1.0567963499997859
VTA_LN_VTA12_ses1,trial_81_los_28_f2_f1_acum_r19_l9_task_1_sess_1,Picture,[8287.2314215],[0],2,[2],0,0.9328897499981395
VTA_LN_VTA12_ses1,trial_82_neu_29_f1_f2_acum_r19_l9_task_1_sess_1,Picture,[8292.2319992],[0],3,[2],0,0.9751445000001695
VTA_LN_VTA12_ses1,trial_83_neu_30_f1_f2_acum_r19_l9_task_1_sess_1,Picture,[8297.2322795],[0],3,[2],0,0.8896569499993348
VTA_LN_VTA12_ses1,trial_84_neu_31_f2_f1_acum_r19_l9_task_1_sess_1,Picture,[8302.2321292],[0],3,[2],0,0.49376105000010284
VTA_LN_VTA12_ses1,trial_85_los_29_f2_f1_acum_r19_l9_task_1_sess_1,Picture,[8307.23163],[0],2,[2],-1,0.8623338999987027
VTA_LN_VTA12_ses1,trial_86_neu_32_f2_f1_acum_r19_l10_task_1_sess_1,Picture,[8312.2325376],[0],3,[1],0,1.406337499998699
VTA_LN_VTA12_ses1,trial_88_los_30_f2_f1_acum_r19_l10_task_1_sess_1,Picture,[8322.2316314],[0],2,[2],-1,0.8741578999997728
VTA_LN_VTA12_ses1,trial_89_rew_26_f2_f1_acum_r19_l11_task_1_sess_1,Picture,[8327.2325763],[0],1,[2],1,0.5424587999987125
VTA_LN_VTA12_ses1,trial_91_neu_34_f2_f1_acum_r20_l11_task_1_sess_1,Picture,[8337.2326238],[0],3,[1],0,1.3863371499992354
VTA_LN_VTA12_ses1,trial_92_los_32_f2_f1_acum_r20_l11_task_1_sess_1,Picture,[8342.2316891],[0],2,[1],-1,1.0231151500011038
VTA_LN_VTA12_ses1,trial_93_rew_27_f2_f1_acum_r20_l12_task_1_sess_1,Picture,[8347.2333996],[0],1,[2],1,0.68431579999924
VTA_LN_VTA12_ses1,trial_94_rew_28_f1_f2_acum_r21_l12_task_1_sess_1,Picture,[8352.2325172],[0],1,[1],1,0.6388240500000393
VTA_LN_VTA12_ses1,trial_95_rew_29_f1_f2_acum_r22_l12_task_1_sess_1,Picture,[8357.2326809],[0],1,[1],0,0.7332008999983373
VTA_LN_VTA12_ses1,trial_97_los_34_f1_f2_acum_r22_l12_task_1_sess_1,Picture,[8367.2317339],[0],2,[2],0,1.1320919499994488
VTA_LN_VTA12_ses1,trial_98_rew_30_f2_f1_acum_r22_l12_task_1_sess_1,Picture,[8372.2325804],[0],1,[2],0,0.6666828500019619
VTA_LN_VTA12_ses1,trial_99_neu_35_f1_f2_acum_r22_l12_task_1_sess_1,Picture,[8377.2322701],[0],3,[2],0,1.3289866499999334
VTA_LN_VTA12_ses1,trial_100_los_35_f2_f1_acum_r22_l12_task_1_sess_1,Picture,[8382.2314669],[0],2,[1],-1,1.0681958499990287
VTA_LN_VTA12_ses1,trial_101_neu_36_f2_f1_acum_r22_l13_task_1_sess_1,Picture,[8387.2328002],[0],3,[1],0,0.9618467500004044
VTA_LN_VTA12_ses1,trial_102_rew_31_f1_f2_acum_r22_l13_task_1_sess_1,Picture,[8392.2326258],[0],1,[1],1,0.6931072500010487
VTA_LN_VTA12_ses1,trial_103_neu_37_f2_f1_acum_r23_l13_task_1_sess_1,Picture,[8397.2321858],[0],3,[1],0,1.114645500001643
VTA_LN_VTA12_ses1,trial_104_los_36_f2_f1_acum_r23_l13_task_1_sess_1,Picture,[8402.2315318],[0],2,[2],-1,1.1311436500000127
VTA_LN_VTA12_ses1,trial_105_neu_38_f2_f1_acum_r23_l14_task_1_sess_1,Picture,[8407.232191],[0],3,[2],0,1.0105956500010507
VTA_LN_VTA12_ses1,trial_106_neu_39_f2_f1_acum_r23_l14_task_1_sess_1,Picture,[8412.2323697],[0],3,[2],0,0.6674388499995985
VTA_LN_VTA12_ses1,trial_107_rew_32_f1_f2_acum_r23_l14_task_1_sess_1,Picture,[8417.2327369],[0],1,[1],0,0.5339121000015439
VTA_LN_VTA12_ses1,trial_108_rew_33_f2_f1_acum_r23_l14_task_1_sess_1,Picture,[8422.2325838],[0],1,[2],0,0.7061498500006564
VTA_LN_VTA12_ses1,trial_109_rew_34_f2_f1_acum_r23_l14_task_1_sess_1,Picture,[8427.2325588],[0],1,[2],1,0.7192765499985398
VTA_LN_VTA12_ses1,trial_110_los_37_f2_f1_acum_r24_l14_task_1_sess_1,Picture,[8432.2316929],[0],2,[1],0,0.8880260499990982
VTA_LN_VTA12_ses1,trial_111_rew_35_f2_f1_acum_r24_l14_task_1_sess_1,Picture,[8437.2326401],[0],1,[2],1,0.6896416500003397
VTA_LN_VTA12_ses1,trial_112_rew_36_f2_f1_acum_r25_l14_task_1_sess_1,Picture,[8442.2326394],[0],1,[2],1,0.5020298500003264
VTA_LN_VTA12_ses1,trial_113_rew_37_f2_f1_acum_r26_l14_task_1_sess_1,Picture,[8447.2331472],[0],1,[2],1,0.5623482999999396
VTA_LN_VTA12_ses1,trial_114_rew_38_f1_f2_acum_r27_l14_task_1_sess_1,Picture,[8452.2326021],[0],1,[1],0,0.8100913499984017
VTA_LN_VTA12_ses1,trial_115_los_38_f2_f1_acum_r27_l14_task_1_sess_1,Picture,[8457.2315983],[0],2,[1],0,0.8922275000004447
VTA_LN_VTA12_ses1,trial_116_los_39_f1_f2_acum_r27_l14_task_1_sess_1,Picture,[8462.231606],[0],2,[2],-1,1.222977899999023
VTA_LN_VTA12_ses1,trial_117_neu_40_f2_f1_acum_r27_l15_task_1_sess_1,Picture,[8467.2322154],[0],3,[2],0,1.000374750001356
VTA_LN_VTA12_ses1,trial_118_rew_39_f1_f2_acum_r27_l15_task_1_sess_1,Picture,[8472.2327132],[0],1,[1],1,0.8218440000018745
VTA_LN_VTA12_ses1,trial_119_los_40_f1_f2_acum_r28_l15_task_1_sess_1,Picture,[8477.2315633],[0],2,[1],-1,1.1397415999999794
VTA_LN_VTA12_ses1,trial_120_rew_40_f1_f2_acum_r28_l16_task_1_sess_1,Picture,[8482.2328144],[0],1,[1],0,0.6977261999982147
